&6_car_min;(6 caractères minimum);(6 char min);(6 car min)
&CONF_MIDS_FIC_INIT;Configuration du MIDS à partir d'un fichier d'intialisation;MIDS configuration from an initialisation data file;Configurazione MIDS da un file di inizializzazione
&CONF_MIDS_FIC_RECENT;Configuration MIDS à partir du fichier de configuration le plus récent;MIDS configuration from the more recent configuration file;Configurazione MIDS dal  file di configurazione  più recente
&CONFIRM_INCORRECTE;confirmation incorrecte;Incorrect confirmation;Conferma non coretta
&CONFIRM_NON_FAITE;confirmation non effectuée;confirmation not completed;Conferma non effetuata
&CONFIRM_REMPLACEMENT;Confirmez-vous son remplacement?;Do you confirm the replacement?;Sei sicuro della sostituzione?
&CONFIRM_TRANS_BLK_DATA;Confirmer le transfert du bloc de données présenté dans la fenêtre;Confirm the transfer of the displayed block of data;Confermare il trasferimento del blocco dati visualizzato
&CONFIRM_TRANS_DATA_EN_CRS;Confirmer le transfert de toutes les données courantes;Confirm the transfer of all current data;Conferma il trasferimento dei dati attuali 
&CONFIRMATION;Confirmation;Confirmation;Conferma
&Confirmation_mdp;Confirmation du nouveau mot de passe :;New password confirmation :;Conferma nuova password:
&Confirmer;Confirmer;Confirm;Conferma
&Confirmer_envoi_cmd;Confirmer l'envoi de la commande;Confirm the command;Conferma l'invio del comando
&CONNEXION_MIDS_ROMPUE;La connexion avec le MIDS vient d'être rompue;Connection with MIDS has been lost;Connessionne con il MIDS persa
&CONTENU;Contenu :;Contents :;Contenuto
&Continuer;Continuer;Continue;Continua
&Controle;Contrôle;Control;Controllo
&Controle_M;Contrôle;Control;Controllo
&Controle_PG_Status;Control PG Status;Control PG Status;Controllo PG Status
&ControleEnregistrement;Contrôle enregistrement;Control recording;Controllo registrazione
&Copie;Copie;Copy;Copia
&COPIE_FIC_CONF_MIDS;Copie des fichiers de configuration du MIDS;Copy of Configuration File;Copia dei file di configurazione
&COPIE_FIC_INIT;Copie des fichiers d'initialisation;Copy of Initialization File;Copia dei file di inizializzazione
&Copier;Copier;Copy;Copia
&Copier_M;Copier;Copy;Copia
&DataUpLoad_M;Rafraîchissement;Refresh;Aggiornare
&DataInitMIDS;Données d'Initialisation du MIDS;Initialization datas of MIDS;Inizializzazione dati MIDS
&DECONNECT_MIDS_INTEMP;Déconnexion du MIDS intempestive;Untimely MIDS disconnection;Sconnessione MIDS intempestiva
&Deconnexion_CEN_demandee;Déconnexion CEN demandée;CEN Disconnection asked;Sconnessione CEN richiesta
&Deconnexion_CEN;Déconnexion CEN;CEN Disconnection;Sconnessione CEN
&Deconnexion_TSDF;Déconnexion TSDF;TSDF Disconnection;Sconnessione TSDF
&Decrement;Decrement;Discrement;Decremento
&Decryptage;Décryptage;Decryption;Decriptazione
&Defaut_Interne;Défaut Interne;Internal Default;Difetto interno
&Definition;Définition;Definition;Definizione
&Desactivation_Set_M;Désactivation set;Set Disablement;Invalidità Set
&DESACTIVE;Désactivé;Disable;Disattivato
&DesactiverTSDF_M;Désactiver enregistrement TSDF;Stop TSDF Recording;Fine Registrazione TSDF
&DesactiverTSRD_M;Désactiver enregistrement TSRD;Stop TSRD Recording;Fine Registrazione TSRD
&DESC_MOTS_INIT_MIDS;-Description des 3810 mots du bloc de donnees d'INITIALISATION du MIDS-;-Description of 3810  MIDS INITIALIZATION data words-;Descrizione di 3810 parole di dati di INIZIALIZZAZIONE MIDS
&DESC_MOTS_STATUS_MIDS;-Description des 840 mots du bloc de donnees de STATUS du MIDS-;-Description des 840 STATUS MIDS data words-;Descrizione di 840 parole del blocco di dati STATUS MIDS
&Destination_TN;Destination TN;TN Destination;
&DFI_264_Car_possibles;4 caractères (0:9, A:Z, Espace);4 characters (0:9, A:Z, Space);Destinazione
&DIAGNOSTIC;Diagnostic : ;Diagnosis : ;Diagnostica:
&Diagnostic;Diagnostic : ;Diagnosis : ;Diagnostica:
&Directory;Répertoire;Directory;Cartella
&DisplayMAP;Afficher la carte;Display Map;Visualizza la mappa
&Disquette;Disquette;Floppy disk;Dischetto
&DONNEES_COURANTES;Données courantes;Current data;Dati attuali
&Donnees_courantes;Données courantes;Current data;Dati attuali
&Donnees_defaut;Données par défaut :;Default data :;dati di default
&Donnees_MIDS_LVT;Données MIDS-LVT;MIDS-LVT data;Dati MIDS-LVT
&Donnees_PG_Emission;Données PG Emission;TX PG data;Dati PG trasmessi (TX)
&Donnees_PG_Mesure_De_Distance;Données PG Mesure de distance;PG data Measure of Distance;Dati PG Misura di distanza
&Donnees_PG_Reception;Données PG Réception;RX PG data;Dati PG ricevuti (RX)
&Dual_Antenna_TX;Dual Antenna TX;Dual Antenna TX;Dual Antenna di Trasmissione (TX)
&ECR_DISQUE_ARCH_NOK;Ecriture sur le disque d'archivage impossible : disque plein ou absent;Recording error : disk full ou disk missing;Errore di registrazione :  disco pieno o mancante
&Effacement_BIT_M;Effacement BIT;BIT Reset;reset BIT
&Effacement_Buffer_M;Effacement Buffer;Clear Buffer;Cancellazione buffer
&EFFACEMENT_CLE;Effacement Clé (SDU Zéroize);SDU Zeroize;Cancellazione Chiave (SDU Zéroize)
&Effacement_Cle;Effacement Clé;SDU Zeroize;Cancellazione Chiave
&Effacement_Cle_M;Effacement Clés;SDU Zeroize;Cancellazione Chiavi
&Effacement_IPF;Effacement IPF;IPF Reset;Reset IPF
&EFFACEMENT_IPF;Effacement IPF (IPF Reset);IPF Reset;Reset IPF
&Effacement_IPF_M;Effacement IPF;IPF Reset;Reset IPF
&Enregistrer;Enregistrer;Save;Salva
&ENREGISTRER;Enregistrer;Save;Salva
&Enregistrer_sous;Enregistrer sous ...;Save as ...;Salva come …
&Entree_Initiale_M;Entrée Initiale;Initial Entry;Ingresso iniziale
&Entree_Initiale;Entrée Initiale;Initial Entry;Ingresso iniziale
&ENTREE_RESEAU;Entrée Réseau (Net Entry Reset);Net Entry (Net Entry Reset);Ingresso Rete (Net Entry Reset)
&Entree_Reseau;Entrée Réseau;Net Entry;Ingresso Rete
&Entree_Reseau_M;Entrée Réseau;Net Entry;Ingresso Rete
&Environnement_Limite;Environnement Limite;Environment Limit;Limite Ambiente
&ENVOI_BLK_DATA_CRYPTO_DATE;Envoi bloc paramètres CRYPTO et DATE;Sending of Crypto and Date block parameters;Invio blocco di parametri CRYPTO e DATI
&ENVOI_BLK_DATA_PHONIE_CTRL;Envoi bloc paramètres PHONIE;Sending of Voice block parameters;Invio blocco parametri FONIA
&ENVOI_BLK_DATA_PORTS_PHONIE;Envoi bloc paramètres PORTS PHONIE;Sending of Voice Ports block parameters;Invio blocco parametri PORTE FONIA
&ENVOI_BLK_DATA_RADIO;Envoi bloc paramètres RADIO;Sending of Radio block parameters;Invio blocco di parametri RADIO
&ENVOI_BLK_DATA_ENTREE_INITIALE;Envoi bloc paramètres ENTREE INITIALE;Sending of Initial Entry block parameters;Invio blocco di parametri INGRESSO INIZIALE
&ENVOI_BLK_DATA_J0_0;Envoi bloc paramètres J0.0;Sending of J0.0 block parameters;Invio blocco di parametri J0.0
&ENVOI_BLK_DATA_ANTENNES_CABLES;Envoi bloc paramètres ANTENNES et CABLES;Sending of Antennas and Cables block parameters;Invio blocco di parametri ANTENNE e CAVI
&ENVOI_BLK_DATA_TX_RX_PG;Envoi bloc paramètres TX/RX PG;Sending of TX/RX PG block parameters;Invio blocco di parametri TX/RX PG
&ENVOI_BLK_DATA_REPROMUL;Envoi paramètres blocs repromulgation;Sending of Repromulgation block parameters;Invio blocco di parametri Ripromulgazione
&ENVOI_BLK_DATA_STATION;Envoi bloc paramètres STATION;Sending of Station block parameters;Invio blocco di parametri STAZIONE
&ENVOI_BLK_DATA_PLATEFORME;Envoi bloc paramètres PLATE-FORME;Sending of Platform block parameters;Invio blocco di parametri PIATTAFORMA
&ENVOI_BLK_DATA_POSITIONS;Envoi bloc paramètres POSITIONS;Sending of Positions block parameters;Invio blocco di parametri Posizione
&ENVOI_BLK_DATA_TSA_RSA;Envoi paramètres blocs TSA/RSA;Sending of TSA/RSA block parameters;Invio blocco di parametri TSA/RSA
&EnvoiFichier;Envoi du fichier :;Sending of file :;Invio del file: 
&ERR_CARTOGRAPHIE_NON_DISPONIBLE;Cartographie non disponible;Map unavailable;Mappa mancante
&ERR_COPIE_FICHIER;Copie du fichier impossible;Cannot copy file;Copia del file impossibile
&ERR_LANCER_MAPPOINT;Erreur au lancement de MapPoint;MapPoint launching error;Errore all'avvio del MapPoint
&ERR_LECT_FIC_CONF;Erreur de lecture du fichier de configuration;Configuration file reading error;Errore di lettura del file di configurazione
&ERR_SAISIE_ANCIEN_MDP;Erreur pendant la saisie de l'ancien mot de passe. Veuillez recommencer.;Old password input error. Try again.;Errore durante l'imissione della vecchia password. Prova nuovamente
&ERR_SAISIE_NOUVEAU_MDP;Erreur pendant la saisie du nouveau mot de passe. Veuillez recommencer.;New password input error. Try again.;Errore durante l'imissione della nuova password. Prova nuovamente
&ERR_SUPPRESSION_FICHIER;Suppression du fichier impossible;Cannot suppress file;Cancellazione del file impossibile
&ERR_TCDE;Erreur Télécommande;Remote control error;Errore Telecomando
&ERREUR;Erreur;Error;Errore
&ERREUR_ARCHIVAGE;Erreur Archivage;Records error;Errore archiviazione
&ERREUR_INTERNE_APPLI;Erreur interne de\nl'application.;Internal program error.;Errore interno dell'applicazione
&ERREUR_SAISIE;Erreur de saisie;Input error;Errore di input
&Erreur_saisie;Erreur de saisie;Input error;Errore di input
&ERREUR_SAISIE_SET_INDEX_NUMBER;Erreur de saisie le numéro d'index doit-être compris entre 1 et 255;Input error : Index number must be included in 1 and 255;Errore di ingresso: il numero index deve essere compreso tra 1 e 255
&ERREUR_OUVERTURE_FIC_CONF;Erreur d'ouverture de fichier de configuration;Cannot open Configuration file;Errore dell'apertura del file di configurazione
&Estimee;Estimée;Estimated;Stimata
&Etat_connu_elt;Etats connus des alarmes;Known states of alarms;Stati conosciuti degli allarmi
&Etat_estime_elt;Etats estimés des éléments;Estimated states of components;Stati stimati dei componenti
&Etat_fenetre_consultation;Etats des champs dans les fenêtres de consultation;States of supervision fields;Stati dei campi nelle finestre di consultazione
&Etat_fenetre_edition;Etats des champs dans les fenêtres d'édition;States of editing fields;Stato dei campi di modifica
&Etat_KO;Mauvais (connexion rompue, alarme);NOK (broken connection, alarm);NOK (connessione rotta, allarme)
&Etat_OK;Bon (connexion établie, fonctionnement correct);OK (etablished connection, correct running);OK (connessione creata, funzionamento correto)
&Execution;Exécution;Running;Esecuzione
&EXPORT;Exporter;Export;Esporta
&Exporter_Fic_Init_M;Exporter un fichier d'initialisation;Export Initialization File;Esporta un file di inizializzazione
&Exporter_Fic_Conf_M;Exporter un fichier de configuration;Export Configuration File;Esporta un file di configurazione
&Fermer;Fermer;Close;Chiudere
&FIC_ARCH_VIDE;Le fichier d'archivage est vide;Recording file empty;Il file di registrazione è vuoto
&FIC_ENREGISTRE_SOUS;Le fichier %s est enregistré sous %s;File %s is recorded as %s;Il file %s è registrato su %s
&FIC_EXISTE_DEJA;Le fichier %s existe déjà;File %s already exists;Il file%s è già esistente
&FIC_LECTURE_SEULE;Le ficher %s est en lecture seule;File %s is read only;Il file %s è solo in lettura
&FIC_NON_CHARGE;Le fichier %s n'a pas pu être chargé;File %s not downloaded;Il file %s non è caricato
&Fichier;Fichier;File;File
&Fichier_conf_MIDS;Fichier de configuration;Configuration File;File di configurazione
&Fichier_conf_MIDS_M;Fichier de configuration;Configuration File;File di configurazione
&Fichier_de_reference;Fichier de référence :;Reference filename :;File di riferimento:
&Fichier_don_MIDS;Fichier de sauvegarde;Backup filename;File di Backup
&Fichier_don_MIDS_M;Fichier de sauvegarde;Backup filename;File di Backup
&Fichier_enregistrement;Fichier d'enregistrement :;Recording filename :;File di registrazione:
&Fichier_M;Fichier;File;File
&Fichiers_disque_dur;Fichiers sur disque dur;Hard Disk Files;I File sul Hard Disk
&File;Fichier;File;File
&FILE_JOURNAL;journal;Logbook;Diario
&Forcage_Marche;Forçage Marche;Alarm Override;Funzionamento forzato
&FXMs_Recording_Control;Contrôle Enregistrement;Recording Control;Controllo registrazioni
&General;Général;General;Generale
&Gestion_Du_Jour;Gestion du jour;Management of Day;Gestione del giorno
&GridOrigin;Origine Grille;Grid Origin;Griglia di origine
&Grid_Origin_Latitude;Grid Origin Latitude;Grid Origin Latitude;Griglia di origine Latitudine
&Grid_Origin_Longitude;Grid Origin Longitude;Grid Origin Longitude;Griglia di origine Longitudine
&GrilleOrigine_M;Origine Grille;Grid Origin;Griglia di origine
&Heure;Heure;Time;Tempo
&heure(s);hour(s);hour(s);ora(e)
&Heure_M;Mise à l'heure;Set Time;Aggiornamento dell'ora
&HeureDateLocale;Heure et Date Locales;Local Time and Date;Ora e data locale
&HeureLocale;Heure Locale;Local Time;Ora locale
&HeureMIDS;Heure MIDS;MIDS Time;Ora MIDS
&Illegal;Interdite;Illegal;Vietato
&Importer_Exporter;Importer/Exporter;Import/Export;Importa/Esporta
&Importer_Fic_Init_M;Importer un fichier d'initialisation;Import Initialization File;Importa file di inizializzazione
&Importer_Fic_Conf_M;Importer un fichier de configuration;Import Configuration File;Importa file di configurazione
&IMPRESSION_INITIALISEE;Impression initialisée;Printing is initialized;Stampa iniziata
&Imprimer;Imprimer;Print;Stampa
&INCONNU;INCONNU;UNKNOWN;Sconosciuto
&INDEX_NON_AUTORISE;Index number non autorisé;Index Number unavailable ;Numero index non autorizzato
&Init_Terminal_M;Initialisation;Initialization;Inizializzazione
&Initialisation;Initialisation;Initialization;Inizializzazione
&Initialisation_du_terminal;Initialisation du terminal;Terminal Initialization;Inizializzazione del Terminale
&Initialisation_M;Initialisation;Initialization;Inizializzazione
&InsererTexteLibre_M;Insérer texte libre;Insert Free-Text;Inserire testo libero
&INSERT_LIBELLE_JDB;Insertion d'un libellé libre dans le journal de bord;Insert Free-Text in Logbook;Inserimento di un testo libero nel diario
&INTR_TCDE_TIMEOUT;Interruption de la télécommande sur hors-temps;Remote control aborted on timeout;Interruzione del telecomando su time-out
&IPF_Reset_M;Effacement IPF;IPF Reset;IPF reset
&Invalid;Invalide;Invalid;Invalido
&JdB;Journal de Bord;Logbook;Diario
&JDB_COURANT_TEMPO;\\JdBCourant_tempo.txt;\\CurrentLogbook.tmp;\\DiarioCorrente_Tempo.txt
&JDB_VIDE;Le journal de bord est vide;Logbook empty;Il diario è vuoto
&Journal;Journal;Logbook;Diario
&Journal_M;Journal;Logbook;Diario
&JUdistantes_M;JU Distantes;Distant JUs;JU distante
&LancerEnregistrement;Lancer Enregistrement;Start Recording;Avvia Registrzione
&LECT_ALL_DATA_INIT_MIDS;Lecture Données INIT complètes MIDS;Reading of all MIDS initialization data;Lettura dei dati INIT MIDS completi
&LECT_DATA_INIT_MIDS;Lecture des données d'initialisation du MIDS;Reading of MIDS initialization data;Lettura dei dati INIT MIDS
&Level;Niveau;Level;Livello
&Le_fichier_a_ete_exporte;Le fichier sélectionné a été exporté;Selected file successfully exported;Il file è esportato con successo
&Le_fichier_na_pas_ete_exporte;Le fichier sélectionné n'a pas pu être exporté;Cannot export selected file;Il file non è esportato 
&LIAIS_DLIP_OSIM_OK_MIDS_NOK;Liaison DLIP/OSIM établie - DLIP/MIDS non établie;DLIP/OSIM connected - DLIP/MIDS not connected;DLIP/OSIM connessi - DLIP/OSIM non connessi
&LIAIS_OSIM_DLIP_MIDS_OK;Liaison OSIM/DLIP/MIDS établie;OSIM/DLIP/MIDS link established;OSIM/DLIP/MIDS connessi
&Liaisons_externes; OSIM                            DLIP                           MIDS; OSIM                            DLIP                           MIDS; OSIM                            DLIP                           MIDS
&Liste_Des_CT_DTB_A_Enregistrer;Liste des CT DTBs à enregistrer (Core to Tailored Data Transfer Blocks);List of CT DTBs to record (Core to Tailored Data Transfer Blocks);Elenco dei CT DTB da registrare (Core to Tailored Data Transfer Blocks)
&Liste_Des_FIMs_A_Enregistrer;Liste des FIMs à enregistrer (Functional Input Message);List of FIMs to record (Functional Input Message);Elenco dei FIM da registrare (Functional Input Message)
&Liste_Des_FOMs_A_Enregistrer;Liste des FOMs à enregistrer (Functional Output Message);List of FOMs to record (Functional Output Message);Elenco dei FOM da registrare (Functional Output Message)
&Liste_Des_JU_Distantes;Liste des JUs distantes;List of Distant JUs;Elenco delle JU distanti
&Liste_Des_TC_DTB_A_Enregistrer;Liste des TC DTBs à enregistrer (Tailored to Core Data Transfer Blocks);List of TC DTBs to record (Tailored to Core Data Transfer Blocks);Elenco dei TC DTB da registrare (Tailored to Core Data Transfer Blocks)
&LISTE_FIC_CONF_MIDS;Liste des fichiers de configuration du MIDS;List of Configuration Files;Elenco dei file di configurazione
&LISTE_FIC_INIT;Liste des fichiers d'initialisation;List of Initialization Files;Elenco dei file di inizializzazione
&Load_Complete_M;Chargement terminé;Load Complete;Caricamento completo
&LONGUEUR_INSUFFISANTE;Longueur insuffisante;Short length;Lunghezza insufficiente
&Maj_Heure;Mise à l'heure;Set Time;Aggiornamento dell'ora
&MAJ_HEURE_IN_PROGRESS;MAJ_HEURE_IN_PROGRESS;TIME_REFRESH_IN_PROGRESS;Aggiornamento dell'ora in corso
&MAJ_HEURE_MIDS;Mise à jour heure MIDS;Set MIDS Time of Day;Aggiornamento dell'ora MIDS
&MAJHeureReseau_M;Mise à jour de l'heure réseau;MIDS Time of Day;Aggiornamento dell'ora Rete MIDS
&Manuel_complet;Manuel complet;Full manual;Manuale completo
&Manuel_complet_M;Manuel complet;Full manual;Manuale completo
&Map;Cartographie;Map;Mappa
&Marche_ON_OFF;Marche ON/OFF;Switch ON/OFF;Switch ON/OFF
&Messages;Messages;Messages;Messaggi
&minute(s);minute(s);minute(s);minuto(i)
&Mise_A_Heure;Mise à l'heure;Set Time of Day;Aggiornamento Ora
&Mise_A_Heure_M;Mise à l'heure du MIDS;MIDS Time of Day;Aggiornamento Ora MIDS
&MISE_HEURE_MIDS;Mise à l'heure du MIDS;MIDS Time of Day;Aggiornamento Ora MIDS
&MODIF_HEURE_RESEAU_MIDS;Modification de l'heure réseau MIDS;MIDS Network Time Modification;Modificazione dell'ora Rete MIDS
&MODIFICATION_RSA_PU;Modification RSA PU;PU's RSA Modification;Modificazione RSA PU
&MODIFICATION_TSA_PU;Modification TSA PU;PU's TSA Modification;Modificazione TSA PU
&Modifier;Modifier;Modify;Modifica
&MODIFIER;Modifier;Modify;Modifica
&MODIFIER_RSA_JU;Modifier RSA d'une JU;Modify JU's RSA;Modifica RSA di una JU
&MODIFIER_TSA_JU;Modifier TSA d'une JU;Modify JU's TSA;Modifica TSA di una JU
&ModifRSA_JU_M;Modifier RSA d'une JU;Modify JU's RSA;Modifica RSA di una JU
&ModifTSA_JU_M;Modifier TSA d'une JU;Modify JU's TSA;Modifica TSA di una JU
&Mot_De_Passe;Mot de passe;Password;Password
&MSG_NOK_CF_JDB;Message de retour erroné (voir journal de bord);Erroneous return message (see logbook);Messaggio di risposta NOK (vedi diario)
&Multiplexage;Multiplexage;Multiplexing;Multiplexing
&NB_PAGES_CONFIRM_IMPRESS;Nombre de pages : %d. Confirmez-vous l'impression?;Number of pages : %d. Confirm?;Numero di pagine:%d. Conferma la stampa?
&NB_STN;NB STN;STN Nber;NUM_STN
&NbTrack:;Nombre d'unités :;Number of JU:;Numero di JU:
&Net_Entry_Reset_M;Entrée Réseau;Net Entry Reset;Reset ingresso rete 
&NO_ERROR;Pas d'erreur;No error;No errore
&NO_FILE_FOUND;Fichier non trouvé;File not found;File non trovato
&NOM_COPIE_FIC;copie(%d)_%s;copy(%d)_%s;Copia(%d)_%s
&Nom_espace;Nom de l'espace consulté;Pathname:;Nome dello spazio consultato
&NOM_FIC_ERR_FATALE;ErreurFatale.txt;FatalError.txt;ErroreFatale.txt
&Nom_fic_select;Nom du fichier sélectionné :;Selected filename :;Nome del file selezionato
&Nom_repertoire;Nom répertoire;Directory name;Nome della cartella:
&Nouveau_mdp;Nouveau mot de passe :;New Password :;Nuova password
&Nouvelle_heure;Nouvelle heure;New Time;Nuova ora
&NTR;Net Time Reference;Net Time Reference;Net Time Reference
&NUM_BLK_NOT_IN_1_TO_31;Le numéro de bloc n'est pas compris entre 1 et 31;Block number is not between 1 to 31;Il numero di blocco non è tra 1 e 31
&NUM_BLK_NOT_IN_1_TO_32;Le numéro de bloc n'est pas compris entre 1 et 32;Block number is not between 1 to 32;Il numero di blocco non è tra 1 e 32
&NUM_BLK_NOT_IN_1_TO_64;Le numéro de bloc n'est pas compris entre 1 et 64;Block number is not between 1 to 64;Il numero di blocco non è tra 1 e 64
&NUM_BLK_NOT_VALID;Le numéro de bloc n'est pas validé;Unavailable Block Number;Il numero di blocco non è valido
&Onglet_CtrlTSRD;Contrôle TSRD;TSRD Control;Controllo TSRD
&Origine_Grille;Origine Grille;Grid Origin;Origine Griglia
&OUTIL_SPV_INIT_MIDS; - Outil de Supervision et d'Initialisation du MIDS-LVT; - MIDS-LVT control and monitoring tool;#NOM?
&Outils;Outils;Tools;Tools
&Ouvrir;Ouvrir;Open;Aprire
&OUVRIR;Ouvrir;Open;Aprire
&Ouvrir_M;Ouvrir;Open;Aprire
&PARA_CRYPTO_DATE;Paramètres - Crypto et Date;Parameters - Crypto and Date;Parametri - Crypto e Data
&PARA_CRYPTO_DATE_BASE;Paramètres - Crypto et Date - Base <%s>;Parameters - Crypto and Date - Base <%s>;Parametri - Crypto e Data - Base <%s>
&PARA_PHONIE_CTRL;Paramètres - Phonie et Contrôle (1/2);Parameters - Voice and Control (1/2);Parametri - Fonia e Controllo (1/2)
&PARA_PHONIE_CTRL_BASE;Paramètres - Phonie et Contrôle (1/2) - Base <%s>;Parameters - Voice and Control (1/2) - Base <%s>;Parametri - Fonia e Controllo (1/2) - Base <%s>
&PARA_PHONIE_IN_PROGRESS;PARA_PHONIE_IN_PROGRESS;PARA_VOICE_IN_PROGRESS;PARA_VOCE_IN_CORSO
&PARA_PLATEFORME;Paramètres - Station (2/3);Parameters - Station (2/3);Parametri - Stazione (2/3)
&PARA_PLATEFORME_BASE;Paramètres - Station (2/3) - Base <%s>;Parameters - Station (2/3) - Base <%s>;Parametri - Stazione (2/3) - Base <%s>
&PARA_PORTS_PHONIE;Paramètres - Phonie et Contrôle (2/2);Parameters - Voice and Control (2/2);Parametri - Fonia e Controllo (2/2)
&PARA_PORTS_PHONIE_BASE;Paramètres - Phonie et Contrôle (2/2) - Base <%s>;Parameters - Voice and Control (2/2) - Base <%s>;Parametri - Fonia e Controllo (2/2) - Base <%s>
&PARA_POSITIONS;Paramètres - Station (3/3);Parameters - Station (3/3);Parametri - Stazione (3/3)
&PARA_POSITIONS_BASE;Paramètres - Station (3/3) - Base <%s>;Parameters - Station (3/3) - Base <%s>;Parametri - Stazione (3/3) - Base <%s>
&PARA_RADIO;Paramètres - Radio (1/5);Parameters - Radio (1/5);Parametri - Radio (1/5)
&PARA_RADIO_BASE;Paramètres - Radio (1/5) - Base <%s>;Parameters - Radio (1/5) - Base <%s>;Parametri - Radio (1/5) - Base <%s>
&PARA_RADIO_ANTENNES_CABLES;Paramètres - Radio (5/5);Parameters - Radio (5/5);Parametri - Radio (5/5)
&PARA_RADIO_ANTENNES_CABLES_BASE;Paramètres - Radio (5/5) - Base <%s>;Parameters - Radio (5/5) - Base <%s>;Parametri - Radio (5/5) - Base <%s>
&PARA_RADIO_ENTREE_INITIALE;Paramètres - Radio (2/5);Parameters - Radio (2/5);Parametri - Radio (2/5)
