&6_car_min;(6 caractŠres minimum);(6 char min);(6 car. minimum)
&CONFIRM_TRANS_DATA_EN_CRS;Confirmer le transfert de toutes les donn‚es courantes;Confirm the transfer of all current data;Conferma il trasferimento dei dati attuali
&CONFIRMATION;Confirmation;Confirmation;Conferma
&Confirmation_mdp;Confirmation du nouveau mot de passe :;New password confirmation :;Conferma nuova password:
&Confirmer;Confirmer;Confirm;Conferma
&Confirmer_envoi_cmd;Confirmer l'envoi de la commande;Confirm the command;Conferma l'invio del comando
&CONNEXION_MIDS_ROMPUE;La connexion avec le MIDS vient d'ˆtre rompue;Connection with MIDS has been lost;Connessionne con il MIDS persa
&CONTENU;Contenu :;Contents :;Contenuto
&Continuer;Continuer;Continue;Continua
&Controle;Contr“le;Control;Controllo
&Controle_M;Contr“le;Control;Controllo
&Controle_PG_Status;Control PG Status;Control PG Status;Control PG Status
&ControleEnregistrement;Contr“le enregistrement;Control recording;Controllo registrazione
&Copie;Copie;Copy;Copia
&COPIE_FIC_CONF_MIDS;Copie des fichiers de configuration du MIDS;Copy of Configuration File;Copia dei file di configurazione
&COPIE_FIC_INIT;Copie des fichiers d'initialisation;Copy of Initialization File;Copia dei file di inizializzazione
&Copier;Copier;Copy;Copia
&Copier_M;Copier;Copy;Copia
&DataUpLoad_M;RafraŒchissement;Refresh;Aggiornare
&DataInitMIDS;Donn‚es d'Initialisation du MIDS;Initialization datas of MIDS;Inizializzazione dati MIDS
&DECONNECT_MIDS_INTEMP;D‚connexion du MIDS intempestive;Untimely MIDS disconnection;Sconnessione MIDS intempestiva
&Deconnexion_CEN_demandee;D‚connexion CEN demand‚e;CEN Disconnection asked;Sconnessione CEN richiesta
&Deconnexion_CEN;D‚connexion CEN;CEN Disconnection;Sconnessione CEN
&Deconnexion_TSDF;D‚connexion TSDF;TSDF Disconnection;Sconnessione TSDF
&Decrement;Decrement;Discrement;Decremento
&Decryptage;D‚cryptage;Decryption;Decriptazione
&Defaut_Interne;D‚faut Interne;Internal Default;Difetto interno
&Definition;D‚finition;Definition;Definizione
&Desactivation_Set_M;D‚sactivation set;Set Disablement;Invalidità  Set
&DESACTIVE;D‚sactiv‚;Disable;Disattivato
&DesactiverTSDF_M;D‚sactiver enregistrement TSDF;Stop TSDF Recording;Fine Registrazione TSDF
&DesactiverTSRD_M;D‚sactiver enregistrement TSRD;Stop TSRD Recording;Fine Registrazione TSRD
&DESC_MOTS_INIT_MIDS;-Description des 3810 mots du bloc de donnees d'INITIALISATION du MIDS-;-Description of 3810  MIDS INITIALIZATION data words-;Descrizione di 3810 parole di dati di INIZIALIZZAZIONE MIDS
&DESC_MOTS_STATUS_MIDS;-Description des 840 mots du bloc de donnees de STATUS du MIDS-;-Description des 840 STATUS MIDS data words-;Descrizione di 840 parole del blocco di dati STATUS MIDS
&Destination_TN;Destination TN;TN Destination;Destinazione TN
&DFI_264_Car_possibles;4 caractŠres (0:9, A:Z, Espace);4 characters (0:9, A:Z, Space);4 car. (0:9, A:Z, Space)
&DIAGNOSTIC;Diagnostic : ;Diagnosis : ;Diagnostica:
&Diagnostic;Diagnostic : ;Diagnosis : ;Diagnostica:
&Directory;R‚pertoire;Directory;Cartella
&DisplayMAP;Afficher la carte;Display Map;Visualizza la mappa
&Disquette;Disquette;Floppy disk;Dischetto
&DONNEES_COURANTES;Donn‚es courantes;Current data;Dati attuali
&Donnees_courantes;Donn‚es courantes;Current data;Dati attuali
&Donnees_defaut;Donn‚es par d‚faut :;Default data :;dati di default :
&Donnees_MIDS_LVT;Donn‚es MIDS-LVT;MIDS-LVT data;Dati MIDS-LVT
&Donnees_PG_Emission;Donn‚es PG Emission;TX PG data;Dati PG trasmessi (TX)
&Donnees_PG_Mesure_De_Distance;Donn‚es PG Mesure de distance;PG data Measure of Distance;Dati PG Misura di distanza
&Donnees_PG_Reception;Donn‚es PG R‚ception;RX PG data;Dati PG ricevuti (RX)
&Dual_Antenna_TX;Dual Antenna TX;Dual Antenna TX;Dual Antenna TX
&ECR_DISQUE_ARCH_NOK;Ecriture sur le disque d'archivage impossible : disque plein ou absent;Recording error : disk full ou disk missing;Errore di registrazione :  disco pieno o mancante
&Effacement_BIT_M;Effacement BIT;BIT Reset;Cancellazione BIT
&Effacement_Buffer_M;Effacement Buffer;Clear Buffer;Cancellazione buffer
&EFFACEMENT_CLE;Effacement Cl‚ (SDU Z‚roize);SDU Zeroize;Cancellazione Chiave (SDU Zeroize)
&Effacement_Cle;Effacement Cl‚;SDU Zeroize;Cancellazione Chiave
&Effacement_Cle_M;Effacement Cl‚s;SDU Zeroize;Cancellazione Chiavi
&Effacement_IPF;Effacement IPF;IPF Reset;Cancellazione IPF
&EFFACEMENT_IPF;Effacement IPF (IPF Reset);IPF Reset;Cancellazione IPF
&Effacement_IPF_M;Effacement IPF;IPF Reset;Cancellazione IPF
&Enregistrer;Enregistrer;Save;Salva
&ENREGISTRER;Enregistrer;Save;Salva
&Enregistrer_sous;Enregistrer sous ...;Save as ...;Salva come …
&Entree_Initiale_M;Entr‚e Initiale;Initial Entry;Ingresso Ini.
&Entree_Initiale;Entr‚e Initiale;Initial Entry;Ingresso Ini.
&ENTREE_RESEAU;Entr‚e R‚seau (Net Entry Reset);Net Entry (Net Entry Reset);Ingresso Rete (Net Entry Reset)
&Entree_Reseau;Entr‚e R‚seau;Net Entry;Ingresso Rete
&Entree_Reseau_M;Entr‚e R‚seau;Net Entry;Ingresso Rete
&Environnement_Limite;Environnement Limite;Environment Limit;Limite Ambiente
&ENVOI_BLK_DATA_CRYPTO_DATE;Envoi bloc paramŠtres CRYPTO et DATE;Sending of Crypto and Date block parameters;Invio blocco di parametri CRYPTO e DATI
&ENVOI_BLK_DATA_PHONIE_CTRL;Envoi bloc paramŠtres PHONIE;Sending of Voice block parameters;Invio blocco parametri FONIA
&ENVOI_BLK_DATA_PORTS_PHONIE;Envoi bloc paramŠtres PORTS PHONIE;Sending of Voice Ports block parameters;Invio blocco parametri PORTE FONIA
&ENVOI_BLK_DATA_RADIO;Envoi bloc paramŠtres RADIO;Sending of Radio block parameters;Invio blocco di parametri RADIO
&ENVOI_BLK_DATA_ENTREE_INITIALE;Envoi bloc paramŠtres ENTREE INITIALE;Sending of Initial Entry block parameters;Invio blocco di parametri INGRESSO INIZIALE
&ENVOI_BLK_DATA_J0_0;Envoi bloc paramŠtres J0.0;Sending of J0.0 block parameters;Invio blocco di parametri J0.0
&ENVOI_BLK_DATA_ANTENNES_CABLES;Envoi bloc paramŠtres ANTENNES et CABLES;Sending of Antennas and Cables block parameters;Invio blocco di parametri ANTENNE e CAVI
&ENVOI_BLK_DATA_TX_RX_PG;Envoi bloc paramŠtres TX/RX PG;Sending of TX/RX PG block parameters;Invio blocco di parametri TX/RX PG
&ENVOI_BLK_DATA_REPROMUL;Envoi paramŠtres blocs repromulgation;Sending of Repromulgation block parameters;Invio blocco di parametri Ripromulgazione
&ENVOI_BLK_DATA_STATION;Envoi bloc paramŠtres STATION;Sending of Station block parameters;Invio blocco di parametri STAZIONE
&ENVOI_BLK_DATA_PLATEFORME;Envoi bloc paramŠtres PLATE-FORME;Sending of Platform block parameters;Invio blocco di parametri PIATTAFORMA
&ENVOI_BLK_DATA_POSITIONS;Envoi bloc paramŠtres POSITIONS;Sending of Positions block parameters;Invio blocco di parametri Posizione
&ENVOI_BLK_DATA_TSA_RSA;Envoi paramŠtres blocs TSA/RSA;Sending of TSA/RSA block parameters;Invio blocco di parametri TSA/RSA
&EnvoiFichier;Envoi du fichier :;Sending of file :;Invio del file: 
&ERR_CARTOGRAPHIE_NON_DISPONIBLE;Cartographie non disponible;Map unavailable;Mappa mancante
&ERR_COPIE_FICHIER;Copie du fichier impossible;Cannot copy file;Copia del file impossibile
&ERR_LANCER_MAPPOINT;Erreur au lancement de MapPoint;MapPoint launching error;Errore all'avvio del MapPoint
&ERR_LECT_FIC_CONF;Erreur de lecture du fichier de configuration;Configuration file reading error;Errore di lettura del file di configurazione
&ERR_SAISIE_ANCIEN_MDP;Erreur pendant la saisie de l'ancien mot de passe. Veuillez recommencer.;Old password input error. Try again.;Errore durante l'imissione della vecchia password. Prova nuovamente
&ERR_SAISIE_NOUVEAU_MDP;Erreur pendant la saisie du nouveau mot de passe. Veuillez recommencer.;New password input error. Try again.;Errore durante l'imissione della nuova password. Prova nuovamente
&ERR_SUPPRESSION_FICHIER;Suppression du fichier impossible;Cannot suppress file;Cancellazione del file impossibile
&ERR_TCDE;Erreur T‚l‚commande;Remote control error;Errore Telecomando
&ERREUR;Erreur;Error;Errore
&ERREUR_ARCHIVAGE;Erreur Archivage;Records error;Errore archiviazione
&ERREUR_INTERNE_APPLI;Erreur interne de\nl'application.;Internal program error.;Errore interno dell'applicazione
&ERREUR_SAISIE;Erreur de saisie;Input error;Errore di input
&Erreur_saisie;Erreur de saisie;Input error;Errore di input
&ERREUR_SAISIE_SET_INDEX_NUMBER;Erreur de saisie le num‚ro d'index doit-ˆtre compris entre 1 et 255;Input error : Index number must be included in 1 and 255;Errore di ingresso: il numero index deve essere compreso tra 1 e 255
&ERREUR_OUVERTURE_FIC_CONF;Erreur d'ouverture de fichier de configuration;Cannot open Configuration file;Errore dell'apertura del file di configurazione
&Estimee;Estim‚e;Estimated;Stimata
&Etat_connu_elt;Etats connus des alarmes;Known states of alarms;Stati conosciuti degli allarmi
&Etat_estime_elt;Etats estim‚s des ‚l‚ments;Estimated states of components;Stati stimati dei componenti
&Etat_fenetre_consultation;Etats des champs dans les fenˆtres de consultation;States of supervision fields;Stati dei campi nelle finestre di consultazione
&Etat_fenetre_edition;Etats des champs dans les fenˆtres d'‚dition;States of editing fields;Stato dei campi di modifica
&Etat_KO;Mauvais (connexion rompue, alarme);NOK (broken connection, alarm);NOK (connessione rotta, allarme)
&Etat_OK;Bon (connexion ‚tablie, fonctionnement correct);OK (etablished connection, correct running);OK (connessione creata, funzionamento correto)
&Execution;Ex‚cution;Running;Esecuzione
&EXPORT;Exporter;Export;Esporta
&Exporter_Fic_Init_M;Exporter un fichier d'initialisation;Export Initialization File;Esporta un file di inizializzazione
&Exporter_Fic_Conf_M;Exporter un fichier de configuration;Export Configuration File;Esporta un file di configurazione
&Fermer;Fermer;Close;Chiudere
&FIC_ARCH_VIDE;Le fichier d'archivage est vide;Recording file empty;Il file di registrazione è vuoto
&FIC_ENREGISTRE_SOUS;Le fichier %s est enregistr‚ sous %s;File %s is recorded as %s;Il file %s è registrato su %s
&FIC_EXISTE_DEJA;Le fichier %s existe d‚j…;File %s already exists;Il file%s è già  esistente
&FIC_LECTURE_SEULE;Le ficher %s est en lecture seule;File %s is read only;Il file %s è solo in lettura
&FIC_NON_CHARGE;Le fichier %s n'a pas pu ˆtre charg‚;File %s not downloaded;Il file %s non è caricato
&Fichier;Fichier;File;File
&Fichier_conf_MIDS;Fichier de configuration;Configuration File;File di configurazione
&Fichier_conf_MIDS_M;Fichier de configuration;Configuration File;File di configurazione
&Fichier_de_reference;Fichier de r‚f‚rence :;Reference filename :;File di riferimento:
&Fichier_don_MIDS;Fichier de sauvegarde;Backup filename;File di Backup
&Fichier_don_MIDS_M;Fichier de sauvegarde;Backup filename;File di Backup
&Fichier_enregistrement;Fichier d'enregistrement :;Recording filename :;File di registrazione :
&Fichier_M;Fichier;File;File
&Fichiers_disque_dur;Fichiers sur disque dur;Hard Disk Files;I File sul Hard Disk
&File;Fichier;File;File
&FILE_JOURNAL;journal;Logbook;Diario
&Forcage_Marche;For‡age Marche;Alarm Override;Funzionamento forzato
&FXMs_Recording_Control;Contr“le Enregistrement;Recording Control;Controllo registrazioni
&General;G‚n‚ral;General;Generale
&Gestion_Du_Jour;Gestion du jour;Management of Day;Gestione del giorno
&GridOrigin;Origine Grille;Grid Origin;Griglia di origine
&Grid_Origin_Latitude;Grid Origin Latitude;Grid Origin Latitude;Grid Origin Latitude
&Grid_Origin_Longitude;Grid Origin Longitude;Grid Origin Longitude;Grid Origin Longitude
&GrilleOrigine_M;Origine Grille;Grid Origin;Griglia di origine
&Heure;Heure;Time;Tempo
&heure(s);hour(s);hour(s);ora(e)
&Heure_M;Mise … l'heure;Set Time;Aggiornamento dell'ora
&HeureDateLocale;Heure et Date Locales;Local Time and Date;Ora e data locale
&HeureLocale;Heure Locale;Local Time;Ora locale
&HeureMIDS;Heure MIDS;MIDS Time;Ora MIDS
&Illegal;Interdite;Illegal;Vietato
&Importer_Exporter;Importer/Exporter;Import/Export;Importa/Esporta
&Importer_Fic_Init_M;Importer un fichier d'initialisation;Import Initialization File;Importa file di inizializzazione
&Importer_Fic_Conf_M;Importer un fichier de configuration;Import Configuration File;Importa file di configurazione
&IMPRESSION_INITIALISEE;Impression initialis‚e;Printing is initialized;Stampa iniziata
&Imprimer;Imprimer;Print;Stampa
&INCONNU;INCONNU;UNKNOWN;Sconosciuto
&INDEX_NON_AUTORISE;Index number non autoris‚;Index Number unavailable ;Numero index non autorizzato
&Init_Terminal_M;Initialisation;Initialization;Inizializzazione
&Initialisation;Initialisation;Initialization;Inizializzazione
&Initialisation_du_terminal;Initialisation du terminal;Terminal Initialization;Inizializzazione del Terminale
&Initialisation_M;Initialisation;Initialization;Inizializzazione
&InsererTexteLibre_M;Ins‚rer texte libre;Insert Free-Text;Inserire testo libero
&INSERT_LIBELLE_JDB;Insertion d'un libell‚ libre dans le journal de bord;Insert Free-Text in Logbook;Inserimento di un testo libero nel diario
&INTR_TCDE_TIMEOUT;Interruption de la t‚l‚commande sur hors-temps;Remote control aborted on timeout;Interruzione del telecomando su time-out
&IPF_Reset_M;Effacement IPF;IPF Reset;IPF reset
&Invalid;Invalide;Invalid;Invalido
&JdB;Journal de Bord;Logbook;Diario
&JDB_COURANT_TEMPO;\\JdBCourant_tempo.txt;\\CurrentLogbook.tmp;\\DiarioCorrente_Tempo.txt
&JDB_VIDE;Le journal de bord est vide;Logbook empty;Il diario è vuoto
&Journal;Journal;Logbook;Diario
&Journal_M;Journal;Logbook;Diario
&JUdistantes_M;JU Distantes;Distant JUs;JU distanti
&LancerEnregistrement;Lancer Enregistrement;Start Recording;Avvia Registrazione
&LECT_ALL_DATA_INIT_MIDS;Lecture Donn‚es INIT complŠtes MIDS;Reading of all MIDS initialization data;Lettura dei dati INIT MIDS completi
&LECT_DATA_INIT_MIDS;Lecture des donn‚es d'initialisation du MIDS;Reading of MIDS initialization data;Lettura dei dati INIT MIDS
&Level;Niveau;Level;Livello
&Le_fichier_a_ete_exporte;Le fichier s‚lectionn‚ a ‚t‚ export‚;Selected file successfully exported;Il file è esportato con successo
&Le_fichier_na_pas_ete_exporte;Le fichier s‚lectionn‚ n'a pas pu ˆtre export‚;Cannot export selected file;Il file non è esportato 
&LIAIS_DLIP_OSIM_OK_MIDS_NOK;Liaison DLIP/OSIM ‚tablie - DLIP/MIDS non ‚tablie;DLIP/OSIM connected - DLIP/MIDS not connected;DLIP/OSIM connessi - DLIP/OSIM non connessi
&LIAIS_OSIM_DLIP_MIDS_OK;Liaison OSIM/DLIP/MIDS ‚tablie;OSIM/DLIP/MIDS link established;OSIM/DLIP/MIDS connessi
&Liaisons_externes; OSIM                            DLIP                           MIDS; OSIM                            DLIP                           MIDS; OSIM                            DLIP                           MIDS
&Liste_Des_CT_DTB_A_Enregistrer;Liste des CT DTBs … enregistrer (Core to Tailored Data Transfer Blocks);List of CT DTBs to record (Core to Tailored Data Transfer Blocks);Elenco dei CT DTB da registrare (Core to Tailored Data Transfer Blocks)
&Liste_Des_FIMs_A_Enregistrer;Liste des FIMs … enregistrer (Functional Input Message);List of FIMs to record (Functional Input Message);Elenco dei FIM da registrare (Functional Input Message)
&Liste_Des_FOMs_A_Enregistrer;Liste des FOMs … enregistrer (Functional Output Message);List of FOMs to record (Functional Output Message);Elenco dei FOM da registrare (Functional Output Message)
&Liste_Des_JU_Distantes;Liste des JUs distantes;List of Distant JUs;Elenco delle JU distanti
&Liste_Des_TC_DTB_A_Enregistrer;Liste des TC DTBs … enregistrer (Tailored to Core Data Transfer Blocks);List of TC DTBs to record (Tailored to Core Data Transfer Blocks);Elenco dei TC DTB da registrare (Tailored to Core Data Transfer Blocks)
&LISTE_FIC_CONF_MIDS;Liste des fichiers de configuration du MIDS;List of Configuration Files;Elenco dei file di configurazione MIDS
&LISTE_FIC_INIT;Liste des fichiers d'initialisation;List of Initialization Files;Elenco dei file di inizializzazione
&Load_Complete_M;Chargement termin‚;Load Complete;Caricamento completo
&LONGUEUR_INSUFFISANTE;Longueur insuffisante;Short length;Lunghezza insufficiente
&Maj_Heure;Mise … l'heure;Set Time;Aggiornamento dell'ora
&MAJ_HEURE_IN_PROGRESS;MAJ_HEURE_IN_PROGRESS;TIME_REFRESH_IN_PROGRESS;Aggiornamento dell'ora in corso
&MAJ_HEURE_MIDS;Mise … jour heure MIDS;Set MIDS Time of Day;Aggiornamento dell'ora MIDS
&MAJHeureReseau_M;Mise … jour de l'heure r‚seau;MIDS Time of Day;Aggiornamento dell'ora Rete MIDS
&Manuel_complet;Manuel complet;Full manual;Manuale completo
&Manuel_complet_M;Manuel complet;Full manual;Manuale completo
&Map;Cartographie;Map;Mappa
&Marche_ON_OFF;Marche ON/OFF;Switch ON/OFF;Switch ON/OFF
&Messages;Messages;Messages;Messaggi
&minute(s);minute(s);minute(s);minuto(i)
&Mise_A_Heure;Mise … l'heure;Set Time of Day;Aggiornamento Ora
&Mise_A_Heure_M;Mise … l'heure du MIDS;MIDS Time of Day;Aggiornamento Ora MIDS
&MISE_HEURE_MIDS;Mise … l'heure du MIDS;MIDS Time of Day;Aggiornamento Ora MIDS
&MODIF_HEURE_RESEAU_MIDS;Modification de l'heure r‚seau MIDS;MIDS Network Time Modification;Modificazione dell'ora Rete MIDS
&MODIFICATION_RSA_PU;Modification RSA PU;PU's RSA Modification;Modificazione RSA PU
&MODIFICATION_TSA_PU;Modification TSA PU;PU's TSA Modification;Modificazione TSA PU
&Modifier;Modifier;Modify;Modifica
&MODIFIER;Modifier;Modify;Modifica
&MODIFIER_RSA_JU;Modifier RSA d'une JU;Modify JU's RSA;Modifica RSA di una JU
&MODIFIER_TSA_JU;Modifier TSA d'une JU;Modify JU's TSA;Modifica TSA di una JU
&ModifRSA_JU_M;Modifier RSA d'une JU;Modify JU's RSA;Modifica RSA di una JU
&ModifTSA_JU_M;Modifier TSA d'une JU;Modify JU's TSA;Modifica TSA di una JU
&Mot_De_Passe;Mot de passe;Password;Password
&MSG_NOK_CF_JDB;Message de retour erron‚ (voir journal de bord);Erroneous return message (see logbook);Messaggio di risposta NOK (vedi diario)
&Multiplexage;Multiplexage;Multiplexing;Multiplexing
&NB_PAGES_CONFIRM_IMPRESS;Nombre de pages : %d. Confirmez-vous l'impression?;Number of pages : %d. Confirm?;Numero di pagine:%d. Conferma la stampa?
&NB_STN;NB STN;STN Nber;NUM_STN
&NbTrack:;Nombre d'unit‚s :;Number of JU:;Numero di JU:
&Net_Entry_Reset_M;Entr‚e R‚seau;Net Entry Reset;Reset ingresso rete
&NO_ERROR;Pas d'erreur;No error;No errore
&NO_FILE_FOUND;Fichier non trouv‚;File not found;File non trovato
&NOM_COPIE_FIC;copie(%d)_%s;copy(%d)_%s;Copia(%d)_%s
&Nom_espace;Nom de l'espace consult‚;Pathname:;Nome dello spazio
&NOM_FIC_ERR_FATALE;ErreurFatale.txt;FatalError.txt;ErroreFatale.txt
&Nom_fic_select;Nom du fichier s‚lectionn‚ :;Selected filename :;Nome del file selezionato : 
&Nom_repertoire;Nom r‚pertoire;Directory name;Nome della cartella:
&Nouveau_mdp;Nouveau mot de passe :;New Password :;Nuova password:
&Nouvelle_heure;Nouvelle heure;New Time;Nuova ora
&NTR;Net Time Reference;Net Time Reference;Net Time Reference
&NUM_BLK_NOT_IN_1_TO_31;Le num‚ro de bloc n'est pas compris entre 1 et 31;Block number is not between 1 to 31;Il numero di blocco non è tra 1 e 31
&NUM_BLK_NOT_IN_1_TO_32;Le num‚ro de bloc n'est pas compris entre 1 et 32;Block number is not between 1 to 32;Il numero di blocco non è tra 1 e 32
&NUM_BLK_NOT_IN_1_TO_64;Le num‚ro de bloc n'est pas compris entre 1 et 64;Block number is not between 1 to 64;Il numero di blocco non è tra 1 e 64
&NUM_BLK_NOT_VALID;Le num‚ro de bloc n'est pas valid‚;Unavailable Block Number;Il numero di blocco non è valido
&Onglet_CtrlTSRD;Contr“le TSRD;TSRD Control;Controllo TSRD
&Origine_Grille;Origine Grille;Grid Origin;Origine Griglia
&OUTIL_SPV_INIT_MIDS; - Outil de Supervision et d'Initialisation du MIDS-LVT; - MIDS-LVT control and monitoring tool; - Tool di Supervisione e inizializzazione del MIDS-LVT
&Outils;Outils;Tools;Tools
&Ouvrir;Ouvrir;Open;Aprire
&OUVRIR;Ouvrir;Open;Aprire
&Ouvrir_M;Ouvrir;Open;Aprire
&PARA_CRYPTO_DATE;ParamŠtres - Crypto et Date;Parameters - Crypto and Date;Parametri - Crypto e Data
&PARA_CRYPTO_DATE_BASE;ParamŠtres - Crypto et Date - Base <%s>;Parameters - Crypto and Date - Base <%s>;Parametri - Crypto e Data - Base <%s>
&PARA_PHONIE_CTRL;ParamŠtres - Phonie et Contr“le (1/2);Parameters - Voice and Control (1/2);Parametri - Fonia e Controllo (1/2)
&PARA_PHONIE_CTRL_BASE;ParamŠtres - Phonie et Contr“le (1/2) - Base <%s>;Parameters - Voice and Control (1/2) - Base <%s>;Parametri - Fonia e Controllo (1/2) - Base <%s>
&PARA_PHONIE_IN_PROGRESS;PARA_PHONIE_IN_PROGRESS;PARA_VOICE_IN_PROGRESS;PARA_VOCE_IN_CORSO
&PARA_PLATEFORME;ParamŠtres - Station (2/3);Parameters - Station (2/3);Parametri - Stazione (2/3)
&PARA_PLATEFORME_BASE;ParamŠtres - Station (2/3) - Base <%s>;Parameters - Station (2/3) - Base <%s>;Parametri - Stazione (2/3) - Base <%s>
&PARA_PORTS_PHONIE;ParamŠtres - Phonie et Contr“le (2/2);Parameters - Voice and Control (2/2);Parametri - Fonia e Controllo (2/2)
&PARA_PORTS_PHONIE_BASE;ParamŠtres - Phonie et Contr“le (2/2) - Base <%s>;Parameters - Voice and Control (2/2) - Base <%s>;Parametri - Fonia e Controllo (2/2) - Base <%s>
&PARA_POSITIONS;ParamŠtres - Station (3/3);Parameters - Station (3/3);Parametri - Stazione (3/3)
&PARA_POSITIONS_BASE;ParamŠtres - Station (3/3) - Base <%s>;Parameters - Station (3/3) - Base <%s>;Parametri - Stazione (3/3) - Base <%s>
